ID,Nickname,AvatarName,Category,Comment,Author,AvatarURL,SourceURL,EntryType,DisplaySerial,BoothURL
0001,Origin Akyo,Akyo origin,Mint Chocolate,The Beginning of Everything,ugai,https://vrchat.com/home/avatar/avtr_471f82ba-0c0b-4fe5-9f9c-3c7d88ab1921,https://vrchat.com/home/avatar/avtr_471f82ba-0c0b-4fe5-9f9c-3c7d88ab1921,avatar,,
0002,Mint Chocolate Akyo,Akyo alt,Mint Chocolate,Compatible with Quest,ugai,https://vrchat.com/home/avatar/avtr_8df233a7-c8fa-4188-81d8-a0b40274e003,https://vrchat.com/home/avatar/avtr_8df233a7-c8fa-4188-81d8-a0b40274e003,avatar,,https://booth.pm/ja/items/1738151
0003,Red Mint Chocolate Akyo,Red basic Akyo,Mint Chocolate,Mint Chocolate Akyo in different colors,Holimond.jp,https://vrchat.com/home/avatar/avtr_4906f0f8-9fcd-4602-8e10-98dd0dda9bab,https://vrchat.com/home/avatar/avtr_4906f0f8-9fcd-4602-8e10-98dd0dda9bab,avatar,,
0004,Green Mint Chocolate Akyo,Green basic Akyo,Mint Chocolate,Mint Chocolate Akyo in different colors,Holimond.jp,https://vrchat.com/home/avatar/avtr_610d4cb5-fcdc-45cb-a375-ff4b9bc93a81,https://vrchat.com/home/avatar/avtr_610d4cb5-fcdc-45cb-a375-ff4b9bc93a81,avatar,,
0005,Blue Mint Chocolate Akyo,Blue basic Akyo,Mint Chocolate,Mint Chocolate Akyo in different colors,Holimond.jp,https://vrchat.com/home/avatar/avtr_e62d5dca-495b-4601-a0fa-b2be5f25595b,https://vrchat.com/home/avatar/avtr_e62d5dca-495b-4601-a0fa-b2be5f25595b,avatar,,
0006,Yellow Mint Chocolate Akyo,Yellow basic Akyo,Mint Chocolate,Mint Chocolate Akyo in different colors,Holimond.jp,https://vrchat.com/home/avatar/avtr_fcabb931-01fc-4448-99fd-7dfba9ea3419,https://vrchat.com/home/avatar/avtr_fcabb931-01fc-4448-99fd-7dfba9ea3419,avatar,,
0007,Black Mint Chocolate Akyo,Black basic Akyo,Mint Chocolate,Mint Chocolate Akyo in different colors,Holimond.jp,https://vrchat.com/home/avatar/avtr_8cd731b4-43b3-4241-a609-ce9dfcfed45d,https://vrchat.com/home/avatar/avtr_8cd731b4-43b3-4241-a609-ce9dfcfed45d,avatar,,
0008,White Mint Chocolate Akyo,White basic Akyo,Mint Chocolate,Mint Chocolate Akyo in different colors,Holimond.jp,https://vrchat.com/home/avatar/avtr_0346605b-98c9-4f0e-8b4a-656bb02a51b0,https://vrchat.com/home/avatar/avtr_0346605b-98c9-4f0e-8b4a-656bb02a51b0,avatar,,
0009,Gray Mint Chocolate Akyo,Gray basic Akyo,Mint Chocolate,Mint Chocolate Akyo in different colors,Holimond.jp,https://vrchat.com/home/avatar/avtr_42c02723-21b9-419a-9562-4013de092636,https://vrchat.com/home/avatar/avtr_42c02723-21b9-419a-9562-4013de092636,avatar,,
0010,Mini Mint Chocolate Akyo,ミニミニAkyoAkyo,Mint Chocolate,Shrunken Mint Chocolate Akyo,Holimond.jp,https://vrchat.com/home/avatar/avtr_4af80dc9-24b3-4d63-a819-d33debac5055,https://vrchat.com/home/avatar/avtr_4af80dc9-24b3-4d63-a819-d33debac5055,avatar,,
