ID,Nickname,AvatarName,Category,Comment,Author,AvatarURL,SourceURL,EntryType,DisplaySerial,BoothURL
0001,오리진 Akyo,Akyo origin,초코민트류,모든 것의 시작,ugai,https://vrchat.com/home/avatar/avtr_471f82ba-0c0b-4fe5-9f9c-3c7d88ab1921,https://vrchat.com/home/avatar/avtr_471f82ba-0c0b-4fe5-9f9c-3c7d88ab1921,avatar,0001,
0002,초코민트 Akyo,Akyo alt,"초코민트류,Booth,Booth/아바타",Quest 지원〇,ugai,https://vrchat.com/home/avatar/avtr_8df233a7-c8fa-4188-81d8-a0b40274e003,https://vrchat.com/home/avatar/avtr_8df233a7-c8fa-4188-81d8-a0b40274e003,avatar,0002,https://booth.pm/ja/items/1738151
0003,빨간 초코민트 Akyo,Red basic Akyo,초코민트류,초코민트 Akyo의 색 변형,Holimond.jp,https://vrchat.com/home/avatar/avtr_4906f0f8-9fcd-4602-8e10-98dd0dda9bab,https://vrchat.com/home/avatar/avtr_4906f0f8-9fcd-4602-8e10-98dd0dda9bab,avatar,0003,
0004,초록 초코민트 Akyo,Green basic Akyo,초코민트류,초코민트 Akyo의 색 변형,Holimond.jp,https://vrchat.com/home/avatar/avtr_610d4cb5-fcdc-45cb-a375-ff4b9bc93a81,https://vrchat.com/home/avatar/avtr_610d4cb5-fcdc-45cb-a375-ff4b9bc93a81,avatar,0004,
0005,파란 초코민트 Akyo,Blue basic Akyo,초코민트류,초코민트 Akyo의 색 변형,Holimond.jp,https://vrchat.com/home/avatar/avtr_e62d5dca-495b-4601-a0fa-b2be5f25595b,https://vrchat.com/home/avatar/avtr_e62d5dca-495b-4601-a0fa-b2be5f25595b,avatar,0005,
0006,노란 초코민트 Akyo,Yellow basic Akyo,초코민트류,초코민트 Akyo의 색 변형,Holimond.jp,https://vrchat.com/home/avatar/avtr_fcabb931-01fc-4448-99fd-7dfba9ea3419,https://vrchat.com/home/avatar/avtr_fcabb931-01fc-4448-99fd-7dfba9ea3419,avatar,0006,
0007,검정 초코민트 Akyo,Black basic Akyo,초코민트류,초코민트 Akyo의 색 변형,Holimond.jp,https://vrchat.com/home/avatar/avtr_8cd731b4-43b3-4241-a609-ce9dfcfed45d,https://vrchat.com/home/avatar/avtr_8cd731b4-43b3-4241-a609-ce9dfcfed45d,avatar,0007,
0008,하얀 초코민트 Akyo,White basic Akyo,초코민트류,초코민트 Akyo의 색 변형,Holimond.jp,https://vrchat.com/home/avatar/avtr_0346605b-98c9-4f0e-8b4a-656bb02a51b0,https://vrchat.com/home/avatar/avtr_0346605b-98c9-4f0e-8b4a-656bb02a51b0,avatar,0008,
0009,회색 초코민트 Akyo,Gray basic Akyo,초코민트류,초코민트 Akyo의 색 변형,Holimond.jp,https://vrchat.com/home/avatar/avtr_42c02723-21b9-419a-9562-4013de092636,https://vrchat.com/home/avatar/avtr_42c02723-21b9-419a-9562-4013de092636,avatar,0009,
0010,미니 초코민트 Akyo,ミニミニAkyoAkyo,초코민트류,작아진 초코민트 Akyo,Holimond.jp,https://vrchat.com/home/avatar/avtr_4af80dc9-24b3-4d63-a819-d33debac5055,https://vrchat.com/home/avatar/avtr_4af80dc9-24b3-4d63-a819-d33debac5055,avatar,0010,
